OpenBLAS backend=pthreads | config=OpenBLAS 0.3.30 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY Zen MAX_THREADS=128
STRIDED_GEMM(ld=2N) | AMD Ryzen Threadripper 3970X 32-Core Processor | session=strided_gemm_amd_20260719_175453_session3 | reps=10 | configs=81 | DRAM-RAPL=no
[OpenBLAS] requested=1 active=1
[STRIDED_GEMM] N=8192 threads=2 rep=5 batches=1 time=4.862 s | package=464.055 J | dram=NA | total=464.055 J | power=95.4 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=8192 threads=2 rep=6 batches=1 time=4.506 s | package=437.999 J | dram=NA | total=437.999 J | power=97.2 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=8192 threads=2 rep=7 batches=1 time=4.522 s | package=440.473 J | dram=NA | total=440.473 J | power=97.4 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=8192 threads=2 rep=8 batches=1 time=4.516 s | package=438.986 J | dram=NA | total=438.986 J | power=97.2 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=8192 threads=2 rep=9 batches=1 time=4.517 s | package=439.113 J | dram=NA | total=439.113 J | power=97.2 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=8192 threads=2 rep=10 batches=1 time=4.505 s | package=437.964 J | dram=NA | total=437.964 J | power=97.2 W | runtime=above | checksum=OK
[OpenBLAS] requested=64 active=64
[STRIDED_GEMM] N=128 threads=64 rep=1 batches=56728 time=1.002 s | package=119.912 J | dram=NA | total=119.912 J | power=119.7 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=64 rep=2 batches=56728 time=1.009 s | package=120.619 J | dram=NA | total=120.619 J | power=119.6 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=64 rep=3 batches=56728 time=0.998 s | package=119.634 J | dram=NA | total=119.634 J | power=119.9 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=64 rep=4 batches=56728 time=0.994 s | package=118.749 J | dram=NA | total=118.749 J | power=119.5 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=64 rep=5 batches=56728 time=0.999 s | package=119.206 J | dram=NA | total=119.206 J | power=119.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=64 rep=6 batches=56728 time=0.992 s | package=118.367 J | dram=NA | total=118.367 J | power=119.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=64 rep=7 batches=56728 time=1.000 s | package=119.214 J | dram=NA | total=119.214 J | power=119.2 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=64 rep=8 batches=56728 time=0.992 s | package=118.391 J | dram=NA | total=118.391 J | power=119.4 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=64 rep=9 batches=56728 time=1.004 s | package=120.408 J | dram=NA | total=120.408 J | power=119.9 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=64 rep=10 batches=56728 time=0.993 s | package=118.439 J | dram=NA | total=118.439 J | power=119.3 W | runtime=in_range | checksum=OK
[OpenBLAS] requested=8 active=8
[STRIDED_GEMM] N=512 threads=8 rep=1 batches=1885 time=1.002 s | package=147.642 J | dram=NA | total=147.642 J | power=147.3 W | runtime=in_range | checksum=OK
