source_file,session_number,sequence_index,problem_size,configuration,num_threads,repetition,runtime_per_op_s,primary_energy_per_op_j,checksum_ok,runtime_outlier,energy_outlier
reduction_amd_20260722_174206_session3.csv,3,591,1000000,64T,64,1,0.00010848535926526202,0.01581217287952458,t,True,True
reduction_amd_20260722_174206_session3.csv,3,592,1000000,64T,64,2,0.00010972317666126417,0.015972822798487305,t,True,False
reduction_amd_20260722_174206_session3.csv,3,131,2000000,20T,20,1,1.2673137108320769e-05,0.0021557228437844482,t,True,False
reduction_amd_20260722_174206_session3.csv,3,132,2000000,20T,20,2,1.2735020209571354e-05,0.002162543441075479,t,True,False
reduction_amd_20260722_174206_session3.csv,3,133,2000000,20T,20,3,1.274304068522484e-05,0.002164118672630285,t,True,False
reduction_amd_20260722_174206_session3.csv,3,134,2000000,20T,20,4,1.274482723667372e-05,0.0021648235495356234,t,True,False
reduction_amd_20260722_174206_session3.csv,3,441,2000000,64T,64,1,0.0001115877769119448,0.016729079706111545,t,True,True
reduction_amd_20260722_174206_session3.csv,3,729,2000000,8T,8,9,3.942178217821782e-05,0.004495440673267327,t,True,False
reduction_amd_20260722_174206_session3.csv,3,751,4000000,20T,20,1,4.971695331695332e-05,0.007859610221130221,t,False,True
reduction_amd_20260722_174206_session3.csv,3,199,4000000,2T,2,9,0.00019591613025369178,0.015360952480121166,t,False,True
reduction_amd_20260722_174206_session3.csv,3,200,4000000,2T,2,10,0.00019577300265051118,0.015360481635744036,t,False,True
reduction_amd_20260722_174206_session3.csv,3,111,4000000,32T,32,1,1.4960682922480276e-05,0.0036385767247655984,t,True,True
reduction_amd_20260722_174206_session3.csv,3,114,4000000,32T,32,4,1.513658449605492e-05,0.0036694065142126924,t,True,False
reduction_amd_20260722_174206_session3.csv,3,691,8000000,1T,1,1,0.0016960666666666667,0.11959551623931623,t,True,False
reduction_amd_20260722_174206_session3.csv,3,693,8000000,1T,1,3,0.0017255350427350428,0.12135986153846154,t,True,False
reduction_amd_20260722_174206_session3.csv,3,251,8000000,32T,32,1,7.37702473237357e-05,0.014673330823181986,t,True,False
reduction_amd_20260722_174206_session3.csv,3,489,8000000,4T,4,9,0.0001947852820612922,0.01899329123560414,t,True,False
reduction_amd_20260722_174206_session3.csv,3,490,8000000,4T,4,10,0.00019677591255123952,0.019200058949834082,t,False,True
reduction_amd_20260722_174206_session3.csv,3,188,8000000,8T,8,8,0.00010842638683821979,0.01396012054418899,t,True,True
reduction_amd_20260722_174206_session3.csv,3,189,8000000,8T,8,9,0.00010832661885678127,0.013989397489981016,t,True,True
reduction_amd_20260722_174206_session3.csv,3,190,8000000,8T,8,10,0.00010884507487871756,0.01395182704070871,t,True,True
reduction_amd_20260722_174206_session3.csv,3,433,16000000,10T,10,3,0.00020240440738534843,0.02786306789755807,t,False,True
reduction_amd_20260722_174206_session3.csv,3,440,16000000,10T,10,10,0.00020486162398252928,0.027917163192376415,t,False,True
reduction_amd_20260722_174206_session3.csv,3,279,16000000,16T,16,9,0.00012157780945592777,0.022650925160370636,t,False,True
reduction_amd_20260722_174206_session3.csv,3,641,16000000,32T,32,1,9.543512176560122e-05,0.02214268331430746,t,True,True
reduction_amd_20260722_174206_session3.csv,3,581,16000000,4T,4,1,0.0007759689681923972,0.06828421334367726,t,True,True
reduction_amd_20260722_174206_session3.csv,3,582,16000000,4T,4,2,0.0007544685802948021,0.06755058650116369,t,True,False
reduction_amd_20260722_174206_session3.csv,3,583,16000000,4T,4,3,0.0007501799844840963,0.06733316291698992,t,True,False
reduction_amd_20260722_174206_session3.csv,3,92,16000000,8T,8,2,0.00018865695970695973,0.025423323992673993,t,False,True
reduction_amd_20260722_174206_session3.csv,3,621,32000000,16T,16,1,0.0006774153116531165,0.09398501084010841,t,False,True
reduction_amd_20260722_174206_session3.csv,3,622,32000000,16T,16,2,0.000680609756097561,0.09443433604336042,t,False,True
reduction_amd_20260722_174206_session3.csv,3,71,32000000,1T,1,1,0.006834925170068028,0.5004318843537414,t,True,False
reduction_amd_20260722_174206_session3.csv,3,241,32000000,32T,32,1,0.0005087088607594936,0.08698190278481012,t,False,True
reduction_amd_20260722_174206_session3.csv,3,242,32000000,32T,32,2,0.0005140992405063291,0.08778496810126582,t,True,False
reduction_amd_20260722_174206_session3.csv,3,243,32000000,32T,32,3,0.0005138172151898734,0.08801034582278482,t,True,False
