session_number,problem_size,num_threads,runtime_per_op_s,time_per_op_ms_e2e,package_energy_per_op_j,package_avg_power_w,gflops_per_s,edp_package_j_s,temp_c,sm_clock_mhz,batches
3,8192,16,0.9684772500000001,968.477304,165.29108075,170.6215817061198,1135.3000000000002,160.06055941888877,96.0,,2.0
3,8192,20,1.1529535,1152.9535544999999,192.0588955,166.50690763842306,953.645,221.47553730759398,99.0,,1.0
3,16384,1,40.7202355,40720.2352685,2262.0335765,55.57445630619794,216.01,92071.01963987909,87.0,,1.0
3,16384,2,22.354005,22354.005014000002,1962.9402264999999,86.66629115858626,393.49,43879.8631852411,99.5,,1.0
3,16384,4,12.2368555,12236.855474,1393.5376615,113.954780938922,718.8199999999999,17043.812179317447,99.0,,1.0
3,16384,8,7.072073,7072.0729544999995,1083.4975315,152.19881035028442,1243.79,7639.383926839595,99.5,,1.0
3,16384,10,6.5039305,6503.9304,1053.6622195,161.89787916859024,1352.425,6857.4352150891855,86.0,,1.0
3,16384,16,7.8145685,7814.568585499999,1363.9677305,174.97440766185525,1125.605,10620.080986539124,99.5,,1.0
3,16384,20,8.863519,8863.519145,1469.7525855,165.26075294821055,992.395,13057.263080412253,99.5,,1.0
4,64,1,2.2967681789931632e-06,0.002297,0.00013373469028382017,58.323696942143236,228.275,3.0707844658023963e-10,98.0,,434430.0
4,64,2,2.313893140493466e-06,0.002314,0.00013937479899059374,60.233896367633506,226.585,3.2249838997005925e-10,98.0,,412916.0
4,64,4,2.5797295202666045e-06,0.00258,0.00015681937921413627,61.196359643535295,203.23,4.043452096903917e-10,99.0,,387090.0
4,64,8,2.3804675770358193e-06,0.0023805,0.00015119395510116538,63.514300833539856,220.245,3.5991294544620287e-10,98.5,,419610.0
4,64,10,2.5116715423431825e-06,0.0025115,0.00015129900305575818,60.12682502779754,208.74,3.804064487941843e-10,97.0,,398919.0
4,64,16,2.5382000522972326e-06,0.0025380000000000003,0.00015248657704356567,59.43818971490629,206.56,3.9060571182828875e-10,99.0,,390078.0
4,64,20,2.394184088220484e-06,0.0023945,0.0001546939785713081,64.43919332279162,218.99,3.7038876394303743e-10,99.0,,415051.0
4,128,1,2.717564386971107e-05,0.0271755,0.0016505662807055513,60.8473368895535,154.34,4.485754843958128e-08,99.0,,36964.0
4,128,2,2.1257476139978793e-05,0.0212575,0.0016638302863202542,78.30985924887204,197.31,3.540691554443086e-08,99.0,,47150.0
4,128,4,1.3199319247906133e-05,0.0131995,0.0012227639253655285,92.53256844533075,317.765,1.60855323067685e-08,92.0,,76533.0
4,128,8,1.274924682384011e-05,0.012749,0.0013945659846416165,109.38459819637339,329.0,1.778026740401184e-08,78.0,,78003.0
4,128,10,1.3493028062217332e-05,0.013493,0.0016218298551930535,120.2998751748687,310.85,2.1851818742854596e-08,94.0,,74513.0
4,128,16,1.2725080469656098e-05,0.012725,0.0015653436999100824,122.93865468286212,329.745,1.9923114105071187e-08,97.0,,76737.0
4,128,20,1.3017950375416438e-05,0.013018,0.001595051514096763,121.79165595246667,322.19,2.0764323438998605e-08,98.0,,80444.0
4,256,1,0.00019326207496136012,0.193262,0.01183433983771252,61.6751751219428,173.625,2.283278834820986e-06,99.0,,5176.0
4,256,2,0.00010829024784482758,0.10829,0.008611627424568967,79.46311208876804,309.855,9.338888522601557e-07,99.0,,9280.0
4,256,4,6.777885465551249e-05,0.067779,0.0070102348500306055,103.39723551117788,495.055,4.7527990715551725e-07,99.0,,14703.0
4,256,8,3.99355042680999e-05,0.0399355,0.005670509445147012,142.08907372074498,840.2149999999999,2.2659570980135895e-07,99.0,,25304.0
4,256,10,6.648562470815822e-05,0.0664855,0.00910776679340938,137.03987319011972,504.69,6.053526414876076e-07,96.0,,14991.0
4,256,16,5.45139043381535e-05,0.054513500000000006,0.008155013454102442,149.60898916933672,615.52,4.4452087273192016e-07,97.0,,18879.0
4,256,20,6.172874518672452e-05,0.061729000000000006,0.008715539484139112,141.19449571754927,543.5799999999999,5.379564133543731e-07,100.0,,16361.0
4,512,1,0.0013399108072916668,1.3399105,0.07901350325520833,58.83063785106185,200.385,0.00010606926967301176,99.0,,768.0
4,512,2,0.0007714806691449815,0.7714805,0.056249946840148696,72.90474620481166,347.95,4.348461200870053e-05,89.5,,1345.0
4,512,4,0.00044446025472112433,0.44446050000000004,0.046117223100570925,102.7845975685479,603.96,2.0631924671271056e-05,99.0,,2277.0
4,512,8,0.0002648720030935808,0.264872,0.03730057489043567,141.19149024952665,1013.45,9.90559311926735e-06,93.0,,3879.0
4,512,10,0.0003216042464878672,0.3216045,0.04584910408684546,142.43728861429457,834.6800000000001,1.4751004966111925e-05,99.0,,3132.0
4,512,16,0.00024757920549288865,0.247579,0.03805630284453164,153.9128521192961,1084.26,9.429990105488583e-06,88.0,,4078.0
4,512,20,0.00032641092225369845,0.326411,0.04728403745672018,144.78010452558436,822.39,1.544056699848137e-05,100.0,,3177.0
4,1024,1,0.01146672988505747,11.466727,0.7185562873563218,62.664448741543055,187.28,0.008239490645655238,98.5,,87.0
4,1024,2,0.00551860989010989,5.5186085,0.47076211538461543,85.32063865067894,389.135,0.0025991202328049905,100.0,,182.0
4,1024,4,0.0031768067092651756,3.176807,0.336146947284345,104.98887001678119,676.02,0.0010749750590579928,99.0,,313.0
4,1024,8,0.0017467694300518136,1.7467685,0.26615481865284973,152.37617028689843,1229.4099999999999,0.0004659656754482088,100.0,,579.0
4,1024,10,0.0018230363636363637,1.823036,0.29652856,162.4432918244113,1177.97,0.0005407628406655702,97.0,,550.0
4,1024,16,0.0022654445606694563,2.265444,0.3434189822175732,151.92621895942807,947.935,0.0007785818692881427,100.0,,478.0
4,1024,20,0.0019435909090909091,1.9435915,0.3394365899419729,174.48176077475142,1104.9050000000002,0.0006602520871051838,98.0,,517.0
4,2048,1,0.086887625,86.8876315,5.869395166666667,67.06671507334673,197.72500000000002,0.5099783929609583,99.5,,12.0
4,2048,2,0.045528782608695646,45.5287655,3.9826372173913045,87.38835783527958,377.34000000000003,0.18137880372649334,99.5,,23.0
4,2048,4,0.02352511627906977,23.5251075,2.664406988372093,113.12881700558793,730.28,0.06255212879141536,89.0,,43.0
4,2048,8,0.013722375,13.7223735,2.0781132565789475,151.15564354659324,1251.96,0.028554931909512637,99.0,,76.0
